measurer,type,time,number
14,S,14:23:40.77,
14,S,14:23:41.32,
14,S,14:29:40.32,1
14,S,14:29:41.99,
14,S,14:35:37.61,2
14,S,14:35:38.33,
14,S,14:36:16.19,5
14,S,14:36:16.60,
14,S,14:36:50.64,7
14,S,14:37:23.51,9
14,S,14:37:24.02,
14,S,14:38:07.75,11
14,S,14:38:08.19,
14,S,14:38:39.29,14
14,S,14:38:39.76,
14,S,14:39:11.86,15
14,S,14:39:12.32,
14,S,14:39:51.43,16
14,S,14:39:52.41,
14,S,14:40:30.34,17
14,S,14:41:00.83,24
14,S,14:41:01.31,
14,S,14:41:37.02,21
14,S,14:41:37.39,
14,S,14:42:10.69,19
14,S,14:42:11.40,
14,S,14:42:55.93,26
14,S,14:42:56.32,
14,S,14:43:27.37,6
14,S,14:43:27.79,
14,S,14:44:00.71,29
14,S,14:44:01.60,
14,S,14:44:40.18,18
14,S,14:44:40.61,
14,S,14:45:08.15,28
14,S,14:45:08.53,
14,S,14:45:40.54,33
14,S,14:46:14.35,25
14,S,14:46:14.90,
14,S,14:46:49.92,35
14,S,14:46:50.87,
14,S,14:47:35.92,36
14,S,14:47:36.41,
14,S,14:48:07.84,27
14,S,14:48:08.55,
14,S,14:48:41.99,37
14,S,14:48:43.47,
14,S,14:49:14.29,39
14,S,14:49:14.73,
14,S,14:49:48.04,45
14,S,14:49:48.89,
14,S,14:50:20.72,46
14,S,14:50:21.69,
14,S,14:50:52.39,22
14,S,14:50:52.76,
14,S,14:51:30.61,38
14,S,14:52:13.32,52
14,S,14:52:13.65,
14,S,14:52:49.10,53
14,S,14:52:49.59,
14,S,14:53:32.06,48
14,S,14:53:32.43,
14,S,14:54:27.20,51
14,S,14:54:27.74,
14,S,14:55:05.41,54
14,S,14:55:06.43,
14,S,14:55:39.04,56
14,S,14:55:39.35,
14,S,14:56:13.91,58
14,S,14:56:14.82,
14,S,14:56:47.16,59
14,S,14:56:48.06,
14,S,14:57:36.47,61
14,S,14:57:37.06,
14,S,15:00:00.23,44
14,S,15:00:42.03,34
14,S,15:00:42.98,
14,S,15:01:16.90,47
14,S,15:01:46.85,41
14,S,15:01:47.19,
14,S,15:02:19.73,43
14,S,15:02:20.25,
14,S,15:04:07.56,57
14,S,15:04:08.18,
14,S,15:04:44.12,32
14,S,15:04:44.44,
14,S,15:05:14.74,55
14,S,15:05:15.17,
14,S,15:06:02.20,12
14,S,15:06:03.37,
