type,section,name,time,GROUP,DAY
CO,CO1,那須野が原公園,12600,1,1
PC,PC1,つくるまサーキット,25,2,1
PC,PC2,つくるまサーキット,19,2,1
PC,PC3,つくるまサーキット,12,2,1
PC,PC4,つくるまサーキット,32,2,1
PC,PC5,つくるまサーキット,16,2,1
PCG,PCG1,つくるまサーキット,104,2,1
PC,PC6,公道,330,3,1
PC,PC7,公道,19,3,1
PC,PC8,公道,11,3,1
PC,PC9,公道,10,3,1
PC,PC10,公道,275,3,1
PCG,PCG2,公道,645,3,1
PC,PC11,磐梯山噴火記念館,215,4,2
PC,PC12,中津川渓谷レストハウス,780,4,2
PC,PC13,中津川渓谷レストハウス,15,4,2
PC,PC14,Linkサーキット,17,5,2
PC,PC15,Linkサーキット,20,5,2
PC,PC16,Linkサーキット,37,5,2
PC,PC17,Linkサーキット,14,5,2
PC,PC18,Linkサーキット,443,5,2
PC,PC19,スカイパーク,26,5,2
PC,PC20,スカイパーク,43,5,2
PC,PC21,スカイパーク,48,5,2
PCG,PCG3,Linkサーキット/スカイパーク,648,5,2
CO,CO2,道の駅七ヶ宿,12900,6,2
PC,PC22,道の駅七ヶ宿,12,6,2
PC,PC23,公道,480,7,2
PC,PC24,公道,435,7,2
PC,PC25,公道,210,7,2
PC,PC26,SHINOI RING,36,8,3
PC,PC27,SHINOI RING,12,8,3
PC,PC28,SHINOI RING,15,8,3
PC,PC29,SHINOI RING,11,8,3
PC,PC30,SHINOI RING,8,8,3
PC,PC31,SHINOI RING,20,8,3
PC,PC32,SHINOI RING,14,8,3
PC,PC33,SHINOI RING,13,8,3
PC,PC34,SHINOI RING,7,8,3
PC,PC35,SHINOI RING,10,8,3
PC,PC36,SHINOI RING,17,8,3
PCG,PCG4,SHINOI RING,163,8,3
PC,PC37,大洗マリーナ,19,9,3
CO,CO3,大洗マリーナ,18900,10,3
PC,PC38,大洗マリーナ,20,10,3
PC,PC39,日本自動車大学校,12,11,3
PC,PC40,日本自動車大学校,9,11,3
PC,PC41,日本自動車大学校,9,11,3
PC,PC42,日本自動車大学校,8,11,3
PC,PC43,日本自動車大学校,5,11,3
PC,PC44,日本自動車大学校,13,11,3
PC,PC45,日本自動車大学校,17,11,3
PC,PC46,日本自動車大学校,12,11,3
PC,PC47,日本自動車大学校,22,11,3
PC,PC48,日本自動車大学校,9,11,3
PC,PC49,日本自動車大学校,11,11,3
PCG,PCG5,日本自動車大学校,127,11,3
PC,PC50,日本自動車大学校,13,12,3
PC,PC51,日本自動車大学校,9,12,3
PC,PC52,日本自動車大学校,23,12,3
PC,PC53,日本自動車大学校,12,12,3
PC,PC54,日本自動車大学校,20,12,3
PC,PC55,日本自動車大学校,13,12,3
PC,PC56,日本自動車大学校,5,12,3
PC,PC57,日本自動車大学校,9,12,3
PC,PC58,日本自動車大学校,9,12,3
PC,PC59,日本自動車大学校,8,12,3
PC,PC60,日本自動車大学校,9,12,3
PCG,PCG6,日本自動車大学校,130,12,3
PC,PC61,九十九里,14,13,4
PC,PC62,九十九里,16,13,4
PC,PC63,九十九里,5,13,4
PC,PC64,九十九里,16,13,4
PC,PC65,九十九里,19,13,4
PC,PC66,九十九里,14,13,4
PC,PC67,九十九里,8,13,4
PCG,PCG7,九十九里,92,13,4
CO,CO4,御宿町 月の砂漠公園,12600,14,4
PC,PC68,御宿町,6,14,4
PC,PC69,御宿町,7,14,4
